"","X","Organisms","Limb_width","Limb_length","Observer","Limb_volume"
"71",71,"Anas acuta",2.70805020110221,1.79175946922805,"William P.",4.85217459096981
"72",72,"Columba livia",2.30258509299405,2.56494935746154,"William P.",5.90601415477561
"73",73,"Columba livia",2.70805020110221,1.79175946922805,"Elliot G.",4.85217459096981
"74",74,"Poecile atricapillus",1.6094379124341,1.6094379124341,"Cameron N.",2.59029039398023
"75",75,"Columba livia",2.70805020110221,2.30258509299405,"Cameron N.",6.23551602413749
"76",76,"Anas acuta",2.07944154167984,2.19722457733622,"Cameron N.",4.56900006251286
"77",77,"Poecile atricapillus",2.63905732961526,1.6094379124341,"Cameron N.",4.2473989193699
"78",78,"Poecile atricapillus",2.30258509299405,1.6094379124341,"William P.",3.70586774527022
"79",79,"Anas acuta",2.30258509299405,1.09861228866811,"Elliot G.",2.52964827886727
"80",80,"Poecile atricapillus",2.56494935746154,2.19722457733622,"Elliot G.",5.63576976783724
"81",81,"Poecile atricapillus",1.94591014905531,2.39789527279837,"Cameron N.",4.6660887477101
"82",82,"Cyanocitta cristata",2.63905732961526,2.39789527279837,"Elliot G.",6.32818309532832
"83",83,"Pica serica",2.39789527279837,2.56494935746154,"William P.",6.15047993922424
"84",84,"Pica serica",2.19722457733622,2.56494935746154,"Cameron N.",5.63576976783724
"85",85,"Cyanocitta cristata",2.19722457733622,2.484906649788,"Cameron N.",5.4598979633004
"86",86,"Cyanocitta cristata",1.94591014905531,2.484906649788,"William P.",4.8354050692775
"87",87,"Columba livia",1.94591014905531,2.19722457733622,"Cameron N.",4.27560160479231
"88",88,"Columba livia",2.56494935746154,1.94591014905531,"Cameron N.",4.99116098649731
"89",89,"Columba livia",2.89037175789616,2.484906649788,"Elliot G.",7.1823040015556
"90",90,"Columba livia",2.07944154167984,1.6094379124341,"Cameron N.",3.34673205386995
"91",91,"Anas acuta",2.07944154167984,2.30258509299405,"William P.",4.78809109562457
"92",92,"Columba livia",2.30258509299405,2.39789527279837,"Cameron N.",5.52135790970643
"93",93,"Poecile atricapillus",1.79175946922805,1.79175946922805,"Cameron N.",3.21040199556838
"94",94,"Anas acuta",2.19722457733622,2.39789527279837,"Cameron N.",5.26871442727092
"95",95,"Pica serica",2.39789527279837,2.39789527279837,"Elliot G.",5.74990173930877
"96",96,"Poecile atricapillus",2.19722457733622,2.83321334405622,"Cameron N.",6.22520599239727
"97",97,"Anas acuta",2.39789527279837,2.39789527279837,"Elliot G.",5.74990173930877
"98",98,"Cyanocitta cristata",2.70805020110221,2.484906649788,"William P.",6.72925195267861
"99",99,"Anas acuta",2.56494935746154,2.07944154167984,"Cameron N.",5.33366224621054
"100",100,"Poecile atricapillus",2.19722457733622,2.77258872223978,"Cameron N.",6.09200008335047
